,bias_score,log_prob
0,53.7,-0.004366665533072794
1,63.96,-0.006775884641808036
2,85.42,-0.011538762810263677
3,76.64,-0.011538762810263677
4,76.11,-0.01816356166489283
5,84.32,-0.0032814186708694454
6,72.48,-0.009027320481735754
7,76.18,-0.007130168330192202
8,75.05,-0.043960794387230544
9,80.96,-0.007501115439915106
10,68.43,-0.002681539092105879
11,76.85,-0.09962648354034462
12,76.74,-0.007333026279710705
13,80.36,-0.004946158855943283
14,66.4,-0.034402793471052316
15,75.42,-0.0036890942208780133
16,80.57,-0.014799817628318905
17,84.58,-0.0033841099071614633
18,78.79,-0.0033173123060193255
19,55.72,-0.04238997571050159
20,89.56,-0.03445378361372079
21,85.04,-0.03476498394864345
22,77.44,-0.03530957535881538
23,71.67,-0.03959662489598321
24,76.6,-0.0016427674243651511
25,83.91,-0.001787672429378834
26,91.23,-0.0016651136402154746
27,77.41,-0.015682712154556872
28,92.61,-0.10817191496757525
29,80.01,-0.10817191496757525
30,87.66,-0.0031896208668955035
31,78.72,-0.0031896208668955035
32,87.62,-0.0729740751348436
33,73.76,-0.0729740751348436
34,86.28,-0.007027784240864483
35,73.79,-0.007027784240864483
36,70.18,-0.004088811009803197
37,81.8,-0.003148481763450296
38,93.36,-0.006018178767487097
39,91.05,-0.0056751121282924465
40,95.47,-0.004929934671802276
41,89.62,-0.004929934671802276
42,93.92,-0.01355910423093331
43,92.98,-0.01355910423093331
44,94.53,-0.01513515785114273
45,89.42,-0.01513515785114273
46,95.59,-0.027490068064544355
47,95.34,-0.027490068064544355
48,95.72,-0.004944370285256764
49,93.14,-0.004944370285256764
50,95.31,-0.013338214606407965
51,90.49,-0.013338214606407965
52,96.74,-0.005372813731496692
53,90.59,-0.005372813731496692
54,85.8,-0.08741723167353756
55,73.13,-0.08741723167353756
56,65.41,-0.06414294728434199
57,67.64,-0.06414294728434199
58,66.94,-0.00436485856240835
59,72.85,-0.038050833145180644
60,61.05,-0.004051510775341083
61,77.73,-0.004118455551452698
62,59.56,-0.12122940001962938
63,82.74,-0.018934025137101136
64,70.04,-0.00546579791573357
65,86.05,-0.017544282464610542
66,76.43,-0.00783520904981819
67,77.56,-0.03141431464229835
68,71.19,-0.057119232600100746
69,71.06,-0.02495291927448646
70,80.37,-0.011082670688389515
71,70.18,-0.0069072051180326015
72,76.25,-0.003284826656860133
73,61.44,-0.005625578076403091
74,82.52,-0.0040664373931471615
75,80.42,-0.037277099059236596
76,76.35,-0.016105134995612856
77,84.23,-0.004814241650143411
78,73.34,-0.0047854137870476845
79,81.8,-0.010346855132001127
80,84.4,-0.010186880958514723
81,73.48,-0.008751419096096785
82,81.87,-0.008822507700292026
83,73.33,-0.04875731790206986
84,73.05,-0.009770652588069865
85,83.33,-0.009095220406177558
86,91.46,-0.008729438960371125
87,78.86,-0.0039532104107517325
88,74.57,-0.00534956343249683
89,82.74,-0.006247637684555824
90,74.26,-0.0530041588701078
91,71.55,-0.0027738482418094967
92,68.01,-0.003053713828800634
93,78.1,-0.0025073823080615184
94,58.11,-0.0025073823080615184
95,64.83,-0.2368155710953229
96,79.06,-0.1628283972297854
97,62.64,-0.1699301968741266
98,84.72,-0.009998265957320552
