Language,Corpus_Size,Monolingual,Mono_Pvalue,Multilingual,Multi_Pvalue,Diff_in_Scores,MonoModel_Size,MultiModel_Size,Mono_token_len,Multi_token_len
ar,595,38.27,1.1574192468306352e-08,44.18,0.1441484248100814,-5.91,135258880,167463831,13,18
de,588,35.0,8.05114391452685e-12,45.95,0.08532016423546211,-10.95,109960318,167463831,14,16
du,588,38.59,0.00013812782696306802,35.81,5.537775675724611e-08,2.78,109169017,167463831,14,16
en,476,48.75,0.5254280008505966,40.4,0.00014439037609277234,8.35,109514298,167463831,13,13
es,560,48.46,0.6740550539155759,46.76,0.17004321374337508,1.70,109883418,167463831,14,16
fr,567,39.51,0.0001316895095472709,42.86,0.010544330566972708,-3.35,110650880,167463831,17,18
it,567,40.79,0.021695102935463506,39.42,0.00015352132376326617,1.37,109960318,167463831,13,16
po,648,41.78,0.00014392985649715713,36.29,1.1448510321623783e-08,5.49,132182880,167463831,14,18
pt,581,50.3,0.5556897902827946,41.34,2.7773073747442987e-05,8.96,135258880,167463831,12,14
zh,574,49.2,0.867020965182346,45.92,0.013421187430519158,3.28,102290312,167463831,17,17
