Language,Corpus Size,Monolingual,Multilingual,Diff_in_Scores,MonoModel_Size,MultiModel_Size,Mono_token_len, Multi_token_len,Mono_Pvalue, Multi_Pvalue
ar,316,48.97,66.04,-17.07,135258880,167463831,12,17,0.5370939784426414,6.866725067523713e-07
de,301,32.6,54.21,-21.61,109960318,167463831,12,14,1.8290690653864248e-05,0.9324053732493378
du,349,36.68,69.72,-33.04,109169017,167463831,12,14,0.00041128243894598867,8.196700267150008e-06
en,341,51.41,42.37,9.04,109514298,167463831,12,12,0.408344403586253,0.12057499226023015
es,700,73.53,55.63,17.90,109883418,167463831,12,14,2.6436281812428715e-13,0.007603214261011613
fr,203,21.11,68.13,-47.02,110650880,167463831,15,16,1.3206868573673445e-05,0.0007098956442110784
it,698,42.67,59.52,-16.85,109960318,167463831,12,14,1.0103708429810775e-05,0.00014037984430216873
po,201,72.37,52.21,20.16,132182880,167463831,12,16,7.439498404840486e-05,0.6799227850521523
pt,121,51.56,65.0,-13.44,135258880,167463831,11,12,0.7054569861112734,0.0013698861047725297
zh,306,54.75,60.42,-5.67,102290312,167463831,15,15,0.18834208685054352,0.027814859084876672
