Language,Corpus Size,Monolingual,Multilingual,Diff_in_Scores,MonoModel_Size,MultiModel_Size,Mono_token_len,Multi_token_len,Mono_Pvalue,Multi_Pvalue
ar,316,48.97,66.04,-17.07,135258880,167463831,12,17,0.3545394797735013,1.982668058999776e-06
de,301,32.6,54.21,-21.61,109960318,167463831,12,14,2.147818204218367e-06,0.04851973828025081
du,349,36.68,69.72,-33.04,109169017,167463831,12,14,1.641464317006442e-05,1.1619088379624576e-05
en,341,51.41,42.37,9.04,109514298,167463831,12,12,0.6028503826806212,0.04190411483908492
es,700,73.53,55.63,17.90,109883418,167463831,12,14,1.120112806059333e-16,0.09128122996650703
fr,203,21.11,68.13,-47.02,110650880,167463831,15,16,4.118514903766991e-11,0.027806895026997264
it,698,42.67,59.52,-16.85,109960318,167463831,12,14,0.004788832760278277,4.857535362561894e-06
po,201,72.37,52.21,20.16,132182880,167463831,12,16,6.302464499635034e-05,0.7653130619721424
pt,121,51.56,65.0,-13.44,135258880,167463831,11,12,0.06601967502129268,0.0025074693935343085
zh,306,54.75,60.42,-5.67,102290312,167463831,15,15,0.42919530044034926,0.02106788671521279
